,State,Latitude,Longitude,2012,2013,2014,2015,2016,2017
0,Alabama,32.7794,-86.8287,19.8,20.9,20.5,20.2,20.3,19.3
1,Alaska,64.0685,-152.2782,10.5,10.25,10.2,11.100000000000001,10.350000000000001,10.399999999999999
2,Arizona,34.2744,-111.6602,20.2,19.4,19.9,19.8,20.5,19.7
3,Arkansas,34.8938,-92.4426,20.4,21.5,21.1,21.0,20.6,19.8
4,California,37.1841,-119.4696,15.5,16.65,16.700000000000003,16.6,16.25,15.25
5,Colorado,38.9972,-105.5478,13.5,14.149999999999999,14.35,13.75,12.5,12.1
6,Connecticut,41.6219,-72.7273,8.45,8.899999999999999,9.1,9.45,9.350000000000001,9.350000000000001
7,Delaware,38.9896,-75.505,12.4,12.9,12.9,12.6,12.9,12.0
8,Florida,28.6305,-82.4497,16.5,17.3,17.7,17.4,16.9,16.6
9,Georgia,32.6415,-83.4426,21.4,22.0,22.2,21.9,21.0,21.5
10,Hawaii,20.2927,-156.3737,10.9,11.2,11.7,11.0,9.8,10.0
11,Idaho,44.3509,-114.613,15.25,15.5,15.6,15.9,15.5,14.75
12,Illinois,40.0417,-89.1965,13.3,13.95,14.15,14.0,14.0,13.9
13,Indiana,39.8942,-86.2816,13.75,14.0,13.850000000000001,13.8,12.95,13.1
14,Iowa,42.0751,-93.49600000000001,11.3,11.5,11.6,11.4,11.0,11.0
15,Kansas,38.4937,-98.3804,12.1,12.5,12.9,12.3,12.4,11.8
16,Kentucky,37.5347,-85.3021,19.799999999999997,20.35,20.25,20.35,20.549999999999997,20.0
17,Louisiana,31.0689,-91.9968,19.85,19.7,20.450000000000003,20.700000000000003,20.4,20.299999999999997
18,Maine,45.3695,-69.2428,14.65,15.25,15.600000000000001,15.25,14.7,14.2
19,Maryland,39.055,-76.7909,8.6,9.15,10.05,9.85,9.95,9.350000000000001
20,Massachusetts,42.2596,-71.8083,10.9,11.2,11.45,11.7,11.3,11.0
21,Michigan,44.3467,-85.4102,16.2,16.3,16.3,16.9,16.3,15.5
22,Minnesota,46.2807,-94.3053,11.5,11.6,11.4,11.4,11.5,11.3
23,Mississippi,32.7364,-89.6678,24.35,24.799999999999997,24.85,24.7,24.45,23.35
24,Missouri,38.3566,-92.458,17.4,18.2,17.8,18.4,17.8,17.1
25,Montana,47.0527,-109.6333,13.85,14.149999999999999,14.1,14.5,15.0,13.75
26,Nebraska,41.5378,-99.7951,12.0,12.6,11.9,11.8,11.2,10.9
27,Nevada,39.3289,-116.6312,14.3,15.0,15.7,15.2,12.9,13.2
28,New Hampshire,43.6805,-71.5811,10.25,10.0,9.899999999999999,10.1,10.1,9.3
29,New Jersey,40.1907,-74.6728,9.7,10.1,11.1,10.4,10.4,10.3
30,New Mexico,34.4071,-106.1126,20.4,21.3,21.6,21.0,21.9,21.5
31,New York,42.9538,-75.5268,13.4,13.649999999999999,13.75,14.55,14.05,14.2
32,North Carolina,35.5557,-79.3877,18.0,18.700000000000003,19.25,19.15,18.3,17.9
33,North Dakota,47.4501,-100.4659,10.6,10.1,9.3,10.0,9.6,9.0
34,Ohio,40.2862,-82.7937,14.8,15.350000000000001,15.2,14.9,14.350000000000001,14.149999999999999
35,Oklahoma,35.5889,-97.4943,16.5,16.8,16.8,17.3,16.8,17.0
36,Oregon,43.9336,-120.5583,16.9,17.8,17.9,17.700000000000003,17.15,15.7
37,Pennsylvania,40.8781,-77.7996,12.7,12.9,13.3,13.1,12.7,13.1
38,Rhode Island,41.6762,-71.5562,8.3,8.7,8.8,9.9,9.2,9.0
39,South Carolina,33.9169,-80.8964,20.05,20.6,21.05,20.4,19.6,19.950000000000003
40,South Dakota,44.4443,-100.2263,13.2,13.350000000000001,13.45,12.6,11.6,12.0
41,Tennessee,35.858000000000004,-86.3505,19.2,19.5,19.8,19.6,19.1,18.6
42,Texas,31.4757,-99.3312,16.85,16.9,17.15,16.95,16.5,16.15
43,Utah,39.3055,-111.6703,12.3,12.8,13.0,13.0,12.4,12.1
44,Vermont,44.0687,-72.6658,11.7,12.5,12.6,12.100000000000001,12.3,11.65
45,Virginia,37.5215,-78.8537,13.100000000000001,13.25,13.5,13.4,14.2,13.4
46,Washington,47.3826,-120.4472,14.8,15.8,15.7,16.0,15.6,14.5
47,Washington D.C.,38.9101,-77.0147,18.5,18.6,18.2,18.0,17.9,17.4
48,West Virginia,38.6409,-80.6227,17.8,19.0,18.9,18.0,17.7,17.8
49,Wisconsin,44.6243,-89.9941,12.25,12.55,12.75,12.25,12.1,11.5
50,Wyoming,42.9957,-107.5512,10.0,10.8,10.5,10.7,11.0,10.5
